filing_year,filing_period,issue_code,total_spend,quarter,issue_display
2025,second_quarter,ENV,35365430.0986578,2,Environment/Superfund
2025,second_quarter,BUD,124683925.95692725,2,Budget/Appropriations
2023,second_quarter,TAX,107043180.76955855,2,Taxation/Internal Revenue Code
2023,first_quarter,BUD,97764479.4593739,1,Budget/Appropriations
2024,fourth_quarter,BUD,101103718.232147,4,Budget/Appropriations
2022,fourth_quarter,MMM,60317487.06277016,4,Medicare/Medicaid
2024,fourth_quarter,CIV,7667091.848026045,4,Civil Rights/Civil Liberties
2023,third_quarter,FIN,47558136.5247508,3,Financial Institutions/Investments/Securities
2022,first_quarter,MMM,64041938.79628418,1,Medicare/Medicaid
2025,second_quarter,DIS,6303544.308260393,2,Disaster Planning/Emergencies
2022,second_quarter,HOM,21445120.13929226,2,Homeland Security
2024,fourth_quarter,ENV,33853613.15272125,4,Environment/Superfund
2026,first_quarter,ENV,35698295.90250619,1,Environment/Superfund
2023,second_quarter,FIN,46120132.031426385,2,Financial Institutions/Investments/Securities
2022,third_quarter,TEC,32750346.982762847,3,Telecommunications
2022,third_quarter,TAX,110478591.02585083,3,Taxation/Internal Revenue Code
2022,fourth_quarter,CON,723130.1001279423,4,Constitution
2023,first_quarter,CIV,7003396.926276394,1,Civil Rights/Civil Liberties
2023,first_quarter,ADV,2050656.1624649859,1,Advertising
2022,third_quarter,GOV,20152106.132863015,3,Government Issues
2024,first_quarter,TRD,59603236.57643974,1,Trade (domestic/foreign)
2024,first_quarter,MAN,12626890.393697469,1,Manufacturing
2024,first_quarter,FUE,6580846.359074259,1,Fuel/Gas/Oil
2025,first_quarter,HCR,126285265.94607428,1,Health Issues
2026,first_quarter,BUD,120620540.71012136,1,Budget/Appropriations
2025,fourth_quarter,TAX,130402449.68150353,4,Taxation/Internal Revenue Code
2023,second_quarter,GOV,17542749.00209614,2,Government Issues
2023,third_quarter,TAX,104657057.56411356,3,Taxation/Internal Revenue Code
2022,first_quarter,URB,2689985.1464646463,1,Urban Development/Municipalities
2022,third_quarter,FIN,46426109.40099638,3,Financial Institutions/Investments/Securities
2022,third_quarter,AUT,7807736.476725664,3,Automotive Industry
2026,first_quarter,MED,6682728.112640137,1,Medical/Disease Research/Clinical Labs
2024,fourth_quarter,DIS,3997276.524788328,4,Disaster Planning/Emergencies
2025,third_quarter,EDU,27569500.717595443,3,Education
2023,fourth_quarter,HCR,111375191.64247307,4,Health Issues
2024,second_quarter,POS,2549870.181509312,2,Postal
2024,second_quarter,HOM,22118950.064666994,2,Homeland Security
2023,first_quarter,FIR,4725226.515277271,1,Firearms/Guns/Ammunition
2025,fourth_quarter,GOV,29221244.683241267,4,Government Issues
2025,fourth_quarter,FIN,62726909.58082065,4,Financial Institutions/Investments/Securities
2022,third_quarter,AGR,21061300.904156905,3,Agriculture
2023,first_quarter,DIS,5686812.841251336,1,Disaster Planning/Emergencies
2023,second_quarter,AGR,27715446.791549586,2,Agriculture
2024,third_quarter,SCI,21882624.19210775,3,Science/Technology
2025,first_quarter,RET,11010776.545521656,1,Retirement
2025,fourth_quarter,TEC,35091686.81572495,4,Telecommunications
2023,third_quarter,AVI,18102067.930994503,3,Aviation/Airlines/Airports
2023,first_quarter,ENV,31142090.313561853,1,Environment/Superfund
2024,third_quarter,MAN,12239964.563513799,3,Manufacturing
2024,third_quarter,VET,12171820.9342868,3,Veterans
2022,fourth_quarter,CSP,17967749.733711388,4,Consumer Issues/Safety/Products
2025,third_quarter,INS,14745554.2637496,3,Insurance
2025,first_quarter,FOR,14732653.328329246,1,Foreign Relations
2025,first_quarter,CPT,29498890.201482322,1,Copyright/Patent/Trademark
2023,third_quarter,AGR,28167937.603813298,3,Agriculture
2024,third_quarter,ANI,2954239.0992716607,3,Animals
2024,third_quarter,TRD,55951097.329217345,3,Trade (domestic/foreign)
2025,third_quarter,CHM,5655054.069419401,3,Chemicals/Chemical Industry
2025,fourth_quarter,AUT,10720652.41751046,4,Automotive Industry
2025,fourth_quarter,AGR,30806747.515250746,4,Agriculture
2023,fourth_quarter,CPT,24088195.617988504,4,Copyright/Patent/Trademark
2022,fourth_quarter,ROD,1823447.8214479235,4,Roads/Highway
2024,first_quarter,BNK,2023966.3748832867,1,Bankruptcy
2023,fourth_quarter,CPI,13763380.763084248,4,Computer Industry
2025,fourth_quarter,AVI,16995675.086731434,4,Aviation/Airlines/Airports
2025,fourth_quarter,TAR,13184606.963908311,4,Tariff (miscellaneous tariff bills)
2026,first_quarter,DIS,6695901.689306325,1,Disaster Planning/Emergencies
2023,second_quarter,TEC,33195630.07866088,2,Telecommunications
2024,fourth_quarter,WEL,681477.5267714742,4,Welfare
2024,second_quarter,PHA,15604654.65743317,2,Pharmacy
2022,first_quarter,ROD,1746265.4396617273,1,Roads/Highway
2024,third_quarter,CDT,1297388.0924630924,3,Commodities (big ticket)
2024,fourth_quarter,MED,4988118.5425269175,4,Medical/Disease Research/Clinical Labs
2023,second_quarter,IND,6417474.709266289,2,Indian/Native American Affairs
2024,third_quarter,FUE,7015722.656851893,3,Fuel/Gas/Oil
2026,first_quarter,UTI,4012809.8652652125,1,Utilities
2025,fourth_quarter,IND,8829077.330529666,4,Indian/Native American Affairs
2023,third_quarter,TEC,31334155.668027706,3,Telecommunications
2023,second_quarter,AVI,18054994.205326393,2,Aviation/Airlines/Airports
2025,second_quarter,MED,6573511.4496003995,2,Medical/Disease Research/Clinical Labs
2023,fourth_quarter,MAR,7649898.246534185,4,Marine/Maritime/Boating/Fisheries
2023,third_quarter,FAM,1280109.1782104005,3,Family issues/Abortion/Adoption
2025,third_quarter,NAT,21377799.277215328,3,Natural Resources
2022,first_quarter,HOU,8940372.488144334,1,Housing
2025,first_quarter,MAR,8389671.068002036,1,Marine/Maritime/Boating/Fisheries
2025,first_quarter,TRU,2835598.822331558,1,Trucking/Shipping
2023,third_quarter,TAR,2024611.0717841338,3,Tariff (miscellaneous tariff bills)
2025,fourth_quarter,FOO,9489457.069576176,4,"Food Industry (safety, labeling, etc.)"
2024,fourth_quarter,UTI,3943672.1702059377,4,Utilities
2025,third_quarter,BAN,28559398.218009878,3,Banking
2023,second_quarter,TAR,2530343.0831336537,2,Tariff (miscellaneous tariff bills)
2022,third_quarter,FOO,6603338.296836032,3,"Food Industry (safety, labeling, etc.)"
2023,first_quarter,UTI,4434130.352425353,1,Utilities
2023,fourth_quarter,RET,9922949.4656371,4,Retirement
2024,first_quarter,SCI,22901849.858387664,1,Science/Technology
2022,third_quarter,IND,6095487.575287403,3,Indian/Native American Affairs
2023,first_quarter,ART,1495786.1667691097,1,Arts/Entertainment
2023,third_quarter,FOO,6583336.777962759,3,"Food Industry (safety, labeling, etc.)"
2025,first_quarter,TOB,5728638.504473304,1,Tobacco
2022,fourth_quarter,HOU,10580372.62852495,4,Housing
2025,second_quarter,ALC,1301192.8373015872,2,Alcohol and Drug Abuse
2024,first_quarter,SPO,2193181.8485517753,1,Sports/Athletics
2023,third_quarter,GOV,16370189.293700565,3,Government Issues
2024,fourth_quarter,ALC,1388060.9612332114,4,Alcohol and Drug Abuse
2024,third_quarter,BNK,1215196.4285714286,3,Bankruptcy
2023,third_quarter,IND,6220405.791683872,3,Indian/Native American Affairs
2024,second_quarter,AER,6765374.020982372,2,Aerospace
2022,third_quarter,FAM,1380068.490451585,3,Family issues/Abortion/Adoption
2025,first_quarter,CPI,15170224.057165056,1,Computer Industry
2024,second_quarter,TOU,3410308.375935065,2,Travel/Tourism
2022,first_quarter,CON,963614.4540853668,1,Constitution
2022,third_quarter,AVI,14460166.702489164,3,Aviation/Airlines/Airports
2022,fourth_quarter,URB,2732356.1886724387,4,Urban Development/Municipalities
