filing_year,filing_period,total_spend,quarter,label
2022,first_quarter,1238006257.4999998,1,2022 Q1
2022,second_quarter,1326021673.45,2,2022 Q2
2022,third_quarter,1206048297.37,3,2022 Q3
2022,fourth_quarter,1215049613.18,4,2022 Q4
2023,first_quarter,1290245009.61,1,2023 Q1
2023,second_quarter,1241277465.72,2,2023 Q2
2023,third_quarter,1210385165.8600001,3,2023 Q3
2023,fourth_quarter,1282472170.4499998,4,2023 Q4
2024,first_quarter,1357707114.58,1,2024 Q1
2024,second_quarter,1294399356.35,2,2024 Q2
2024,third_quarter,1268822083.6000001,3,2024 Q3
2024,fourth_quarter,1307307406.1799998,4,2024 Q4
2025,first_quarter,1491698028.54,1,2025 Q1
2025,second_quarter,1550765758.1399999,2,2025 Q2
2025,third_quarter,1502909235.79,3,2025 Q3
2025,fourth_quarter,1560276628.5099998,4,2025 Q4
2026,first_quarter,1572864172.5,1,2026 Q1
