country,n_filings,n_clients,n_entities
United Kingdom,424,179,202
Canada,283,151,175
Netherlands,209,85,110
South Korea,205,66,85
China,194,82,135
Switzerland,180,83,82
Germany,175,99,110
Japan,168,99,95
Virgin Islands (British),131,43,59
France,118,80,80
Australia,112,88,88
Cayman Islands,107,46,67
Israel,104,67,75
Singapore,102,38,64
Luxembourg,92,39,57
United States of America,86,53,55
Ireland,73,43,41
Denmark,73,28,46
Hong Kong,65,29,36
Norway,63,32,34
Italy,50,31,39
Belgium,46,25,27
Sweden,43,33,27
Brazil,39,23,32
India,39,30,29
Spain,39,25,34
Bermuda,33,19,25
Mexico,29,17,18
United Arab Emirates,26,13,16
Austria,22,14,13
Taiwan,20,15,19
Finland,19,8,10
Guatemala,19,3,3
Ukraine,14,8,12
El Salvador,14,4,4
Jersey,13,6,12
South Africa,10,6,9
New Zealand,10,7,8
Bulgaria,10,8,7
Greece,9,6,9
Kuwait,9,3,8
Mauritius,9,8,7
Czechia,9,4,5
Türkiye,8,7,8
Poland,7,6,4
Chile,6,4,4
Virgin Islands (U.S.),6,5,4
Guernsey,5,3,2
Nicaragua,5,1,5
Cyprus,4,3,4
Thailand,3,3,3
Senegal,3,1,3
Lebanon,3,3,3
Zimbabwe,3,1,3
North Korea,3,3,3
Serbia,3,3,2
Indonesia,3,2,3
Seychelles,3,3,3
Russia,3,2,3
Saudi Arabia,3,2,2
Papua New Guinea,3,1,1
Saint Kitts and Nevis,3,3,2
Portugal,3,2,2
Nigeria,2,2,2
Cambodia,2,1,2
North Macedonia,2,2,2
Vietnam,2,2,2
Kenya,2,2,2
Haiti,2,2,2
Romania,2,1,2
Qatar,2,2,2
Bosnia and Herzegovina,2,2,1
Andorra,2,2,2
Moldova,2,2,2
Liechtenstein,2,1,2
Bahamas,2,1,1
Morocco,2,2,2
Georgia,1,1,1
Oman,1,1,1
Honduras,1,1,1
Hungary,1,1,1
Slovenia,1,1,1
Somalia,1,1,1
Kyrgyzstan,1,1,1
"Bonaire, Sint Eustatius and Saba",1,1,1
Malaysia,1,1,1
Croatia,1,1,1
Botswana,1,1,1
Latvia,1,1,1
Mauritania,1,1,1
Angola,1,1,1
Philippines,1,1,1
Argentina,1,1,1
Lithuania,1,1,1
Estonia,1,1,1
Belize,1,1,1
Iceland,1,1,1
Micronesia (Federated States of),1,1,1
Guinea,1,1,1
Liberia,1,1,1
Trinidad and Tobago,1,1,1
