country,foreign_entity_name,client_name,foreign_ownership_pct,foreign_contribution,filing_year
Virgin Islands (British),"AVALANCHE (BVI), INC.",AVA LABS INC.,0.0,120000.0,2025
Luxembourg,ARCELORMITTAL,BRYAN CAVE LEIGHTON PAISNER LLP ON BEHALF OF ARCELORMITTAL LIBERIA LTD,85.0,60000.0,2025
Luxembourg,ARCELORMITTAL SA,ARCELORMITTAL LIBERIA LTD,85.0,60000.0,2025
Luxembourg,SES S.A.,SES AMERICOM INC,100.0,50000.0,2024
Luxembourg,SES S.A.,"SES AMERICOM, INC.",100.0,50000.0,2025
Virgin Islands (British),"AVALANCHE (BVI), INC.","AVA LABS, INC.",100.0,37500.0,2025
Cayman Islands,POLYGON LABS TOKENS (CAYMEN) LTD.,POLYGON LABS SERVICES (SWITZERLAND) AG,0.0,30000.0,2023
Virgin Islands (British),"AVALANCHE (BVI), INC.","AVA LABS, INC.",100.0,22500.0,2025
Bermuda,PAYSAFE LIMITED,PAYSAFE PAYMENT PROCESSING SOLUTIONS LLC,100.0,20000.0,2025
Bermuda,"NORWEGIAN CRUISE LINE HOLDINGS, LTD.","NORWEGIAN CRUISE LINE HOLDINGS, LTD.",100.0,20000.0,2025
Bermuda,PAYSAFE LIMITED,PAYSAFE PAYMENT PROCESSING SOLUTIONS LLC,100.0,20000.0,2026
Bermuda,PAYSAFE LIMITED,PAYSAFE PAYMENT PROCESSING SOLUTIONS LLC,100.0,20000.0,2024
Virgin Islands (British),TRON TECH LIMITED,TRON BLOCKCHAIN AND DAO (AS SUPPORTED BY TRON TECH LIMITED AND RAINCO PTE LTD.),100.0,5000.0,2024
Virgin Islands (British),TRON TECH LIMITED,TRON BLOCKCHAIN AND DAO (AS SUPPORTED BY TRON TECH LIMITED AND RAINCO PTE LTD.),100.0,5000.0,2024
Virgin Islands (British),SCM CONSULTING LIMITED,"DCI GROUP, L.L.C. ON BEHALF OF SCM CONSULTING LIMITED",100.0,0.0,2023
Virgin Islands (British),SMART WIRES TECHNOLOGY LTD,SMART WIRES INC.,97.0,0.0,2022
Virgin Islands (British),IRONSIDE INTERNATIONAL LIMITED,GEMMY INDUSTRIES,75.0,0.0,2022
Virgin Islands (British),TG COMMODITIES LIMITED (BVI),"LAW OFFICES OF MICHAEL JASON LEE, APLC (ON BEHALF OF TETHER OPERATIONS LIMITED)",0.0,0.0,2022
