source_office_type,source_office,prior_role,n,total
HOUSE_COMMITTEE,House Appropriations Committee,CHIEF_OF_STAFF,6,44
HOUSE_COMMITTEE,House Appropriations Committee,COUNSEL,1,44
HOUSE_COMMITTEE,House Appropriations Committee,LEG_ASSISTANT,1,44
HOUSE_COMMITTEE,House Appropriations Committee,LEG_CORRESPOND,2,44
HOUSE_COMMITTEE,House Appropriations Committee,LEG_DIRECTOR,4,44
HOUSE_COMMITTEE,House Appropriations Committee,MEMBER,1,44
HOUSE_COMMITTEE,House Appropriations Committee,OTHER,8,44
HOUSE_COMMITTEE,House Appropriations Committee,PRESS_SEC,1,44
HOUSE_COMMITTEE,House Appropriations Committee,PROF_STAFF,14,44
HOUSE_COMMITTEE,House Appropriations Committee,STAFF_DIRECTOR,6,44
HOUSE_COMMITTEE,House Armed Services Committee,CHIEF_OF_STAFF,1,41
HOUSE_COMMITTEE,House Armed Services Committee,CONSULTANT,2,41
HOUSE_COMMITTEE,House Armed Services Committee,COUNSEL,8,41
HOUSE_COMMITTEE,House Armed Services Committee,LEG_ASSISTANT,6,41
HOUSE_COMMITTEE,House Armed Services Committee,LEG_DIRECTOR,3,41
HOUSE_COMMITTEE,House Armed Services Committee,MEMBER,1,41
HOUSE_COMMITTEE,House Armed Services Committee,OTHER,7,41
HOUSE_COMMITTEE,House Armed Services Committee,OTHER_AIDE,3,41
HOUSE_COMMITTEE,House Armed Services Committee,PRESS_SEC,1,41
HOUSE_COMMITTEE,House Armed Services Committee,PROF_STAFF,8,41
HOUSE_COMMITTEE,House Armed Services Committee,STAFF_ASSISTANT,1,41
HOUSE_COMMITTEE,House Energy & Commerce Committee,CHIEF_OF_STAFF,10,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,CONSULTANT,1,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,COUNSEL,25,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,LEG_ASSISTANT,4,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,LEG_DIRECTOR,8,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,OTHER,26,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,PROF_STAFF,3,80
HOUSE_COMMITTEE,House Energy & Commerce Committee,STAFF_ASSISTANT,1,80
