source_office,registrant_name,n_people
House Financial Services Committee,"MINDSET ADVOCACY, LLC",6
House of Representatives Committee,"LEWIS-BURKE ASSOCIATES, LLC",4
House Ways & Means Committee,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),4
Senate Finance Committee,HOLLAND & KNIGHT LLP,4
House Appropriations Committee,FEDERAL SCIENCE PARTNERS LLC,3
House Armed Services Committee,J.A. GREEN AND COMPANY (FORMERLY LLC),3
House Judiciary Committee,THORSEN FRENCH ADVOCACY LLC,3
Senate Judiciary Committee,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",3
Senate Commerce Committee,"ELEVATE GOVERNMENT AFFAIRS, LLC",3
House Energy & Commerce Committee,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",3
Senate Banking Committee,RICH FEUER ANDERSON,2
House Ways and Means Committee,MILLER & CHEVALIER CHARTERED,2
House Transportation & Infrastructure Committee,HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),2
Senate Select Committee,HOLLAND & KNIGHT LLP,2
Senate Armed Services Committee,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",2
Senate HELP Committee,"JOHNSON & JOHNSON SERVICES, INC.",2
Senate Appropriations Committee,HB STRATEGIES,2
House E&C Committee,SPLITOAK STRATEGIES LLC,2
Senate Environment and Public Works Committee,"CASSIDY & ASSOCIATES, INC.",2
Senate Energy & Natural Resources Committee,LOT SIXTEEN LLC,2
House Natural Resources Committee,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",2
Senate Republican Policy Committee,"KOUNTOUPES DENHAM CARR & REID, LLC",2
Senate Special Aging Committee,THORN RUN PARTNERS,2
House Agriculture Committee,"THE RUSSELL GROUP, INC.",2
Senate Budget Committee,"THE NICKLES GROUP, LLC",2
House FS Committee,"AMERICAN INTERNATIONAL GROUP, INC.",1
House Transportation and Infrastructure Committee,LA28,1
Senate Democratic Leader Harry Reid US Senate Sergeant at Arms US Senate Deputy Sergeant at Arms US Senate Appropriations Committee,"NATIONAL GROUP, LLP",1
Senate Finance Fontenot Committee,FONTENOT HEALTH POLICY LLC,1
Senate Indian Affairs Committee,"POWERS PYLES SUTTER & VERVILLE, P.C.",1
"Senate Staff, Senator, House of Representatives Staff, Representative, House Appropriations Committee","RENK HOLDINGS, INC.",1
Senate Rep. Policy Committee,HILLNORTH LLC,1
Senate VA HUD Appropriations Committee,FEDERAL SCIENCE PARTNERS LLC,1
House PERMANENT SELECT Committee,HOGAN LOVELLS US LLP,1
"House Subcommittee Staff Director, Ways and Means Committee","ARTICLE ONE GROUP, LLC",1
House Transportation &Infrastructure Committee,"TAI GINSBERG & ASSOCIATES, LLC",1
House Merchant Marine and Fisheries Committee,PIKE ASSOCIATES LLC,1
House Government Affairs Committee,CAPITOL COUNSEL LLC,1
"Senate Commerce, Justice, Science Subcommittee, Committee",BALL CORPORATION,1
"Senate Ag, Nutrition and Forestry Committee","TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",1
"Senate Ag, Nutrition, and Forestry Committee",CORN REFINERS ASSOCIATION,1
"Senate Banking, Housing & Urban Affairs Committee","CGCN GROUP, LLC",1
Senate Environment and Public works Committee,BRACEWELL LLP,1
Senate Majority Leader Daschle - Senate Agriculture Committee,CULTIVATING CONSERVATION,1
"Senate Majority Leader, Senate Republican Leader, Professional Staff, Senate Commerce Committee",BOSE PUBLIC AFFAIRS GROUP,1
Senate Professional Staff - House Resources Committee,"THE FERGUSON GROUP, LLC",1
House Arms Services Committee,J.A. GREEN AND COMPANY (FORMERLY LLC),1
"House Committee on Appropriations former staff, Senate Committee","RELATION STRATEGY, LLC",1
Senate Democratic Conference Committee,TIBER CREEK GROUP,1
Senate Veteran's Affairs Committee,"COASPIRE, LLC",1
"Senate Banking, Housing and Urban Affairs Committee",WESTERN ALLIANCE BANCORPORATION,1
Senate Special Committee,MONUMENT ADVOCACY,1
House Education and the Workforce Committee,CURRENTSTRATEGIC LLC,1
House of Representatives' Committee,QUINELLA GLOBAL LLC,1
"House of Representatives, Clerk - U.S. House of Representatives Committee","MZ ADVISING, LLC",1
Senate Approps Committee,"CROSSROADS STRATEGIES, LLC",1
Senate CST Committee,"LEWIS-BURKE ASSOCIATES, LLC",1
House Education & the Workforce Committee,ARCHER DANIELS MIDLAND COMPANY,1
House Committee on Oversight and Reform -Professional Staff Member at House Committee,SIERRA CLUB,1
"Senate Health, Education, Labor, & Pensions Committee",LODESTONE DC,1
Senate Labor Committee,HANKA ADVISOR LLC,1
House Approps Committee,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",1
House Nat. Resources Committee,STEVE PETERSEN & ASSOCIATES,1
House Director-State Department Advisor-State Department Assistant-Clerk of the U.S. House of Representatives Clerk-House Committee,"DELTA AIR LINES, INC.",1
House Ethics Committee,ALLINA HEALTH,1
House Permanent Select Committee,"BAE SYSTEMS, INC.",1
Senate and Environment and Public Works Committee,"NORTH SOUTH GOVERNMENT STRATEGIES, FKA JDM PUBLIC STRATEGIES, LLC",1
"House Appropriations, Committee","THE LIVINGSTON GROUP, LLC",1
"House Republican Leader Communications Director, U.S. House Committee",SECOND CURVE STRATEGIES LLC,1
House Transportation and infrastructure Committee,BRUMIDI GROUP,1
"House of Representatives, Committee",CTIA-THE WIRELESS ASSOCIATION,1
Senate Ag Committee,UNIVERSITY OF ARIZONA,1
"House Committee on Homeland Security, Fellow on House Committee","CARLOUGH SOLUTIONS, LLC",1
House Oversight Committee,THE RABEN GROUP,1
"House Committee on Oversight and Reform, Majority Staff Research Assistant, House Committee",PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION,1
House Resources Committee,FRANKLIN CREEK CONSULTING,1
House Oversight & Reform Committee,SHEIN TECHNOLOGY LLC,1
House Republican Policy Committee,H&M STRATEGIES LLP,1
"Senate Commerce, Science & Transportation Committee",THE NATURE CONSERVANCY,1
House Rules Committee,HEWLETT PACKARD ENTERPRISE COMPANY,1
House Select Committee,"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",1
Senate Budget and Finance Committee,CR FEDERAL,1
House and Committee,"PORTER GROUP, LLC",1
House of Representative ChiefClerk - Education and Workforce Committee,HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),1
House of Transportation and Infrastructure Committee,"ALPINE GROUP PARTNERS, LLC.",1
House of Representatives - General Counsel for Energy & Commerce Committee,"THE WILLIAMS COMPANIES, INC.",1
"House of Representatives, Subcommittee on Government Management, Committee",HETTINGER STRATEGY GROUP LLC,1
Senate COMMERCE AND APPROPRIATIONS Committee,JTR STRATEGIES LLC,1
House of Reps Budget Committee,MR. THOMAS KAHN,1
"Senate Committee on Agriculture, SVP & Gen Counsel US Export-Import Bank, & Gen Counsel US House Committee",CORDONE CONSULTING LLC,1
Senate Democratic Policy Committee,GRAYROBINSON PA,1
Senate Government Affairs Committee,PUBLIC BROADCASTING SERVICE,1
Senate Homeland Security Committee,LA28,1
House of Representatives Homeland Security Committee,INTERNATIONAL LIQUID TERMINALS ASSOCIATION,1
Senate Homeland Security Government Affairs Committee,ALCALDE & FAY,1
Senate Homeland Security and Gov. Affairs Committee,NATIONAL TREASURY EMPLOYEES UNION,1
House International Relations Committee,"POBLETE TAMARGO, LLP",1
"House Liaison,Special Asst to the President for Legislative Affairs,Asst. Director for Legislative Affairs at OMB,Special Asst to Undersecretary,Dept of Energy,Policy Advisor to Chairman of Energy&Commerce Committee","KOUNTOUPES DENHAM CARR & REID, LLC",1
House Foreign Relations Committee,TENCENT HOLDINGS LIMITED,1
House Fin. Serv. Committee,MOODY'S CORPORATION,1
"House of Representatives, Reps Steve Rothman, Phil Hare, Rush Holt, Lane Evans, Pat Schroeder, Professional Staff, House Committee",O'DONNELL ADVOCACY SOLUTIONS,1
Senate Homeland Security & Governmental Affairs Committee,"ELASTICSEARCH, INC.",1
House of Representatives-Energy & Commerce Committee,"MARSHALL & POPP, LLC",1
"Senate Committee on Commerce, Science,and Transportation. Legislative Assistant, Senator Olympia Snowe,Legislative Assistant, House Transportation and Infrastructure Committee",BOUNDARY STONE PARTNERS,1
Senate Committee on Homeland Security and Governmental Affairs Committee,"SYNOPSYS, INC.",1
"Senate Committee on Small Business and Entrepreneurship Chief Counsel, Senate Committee",RIDGELINE ADVOCACY GROUP LLC,1
Senate Environment and Public work Committee,BRACEWELL LLP,1
Senate Health Education Labor Pensions Committee,PENN HILL GROUP,1
"Senate Health, Education, Labor and Pensions Committee",CURRENT STRATEGIES,1
House Fin Svcs. Committee,"BLACKROCK FUNDS SERVICES GROUP, LLC",1
Senate finance Committee,"MERCK & CO, INC.",1
"Senate Commerce, Transportation and Science Committee",KEVIN KAYES,1
"Senate Employee, Committee","TRUE ANOMALY, INC.",1
Senate Energy & Water Appropriations Committee,GENERAL ATOMICS,1
Senate Energy Committee,OCCIDENTAL PETROLEUM CORPORATION,1
Senate Environment & Public Works Committee,"CASSIDY & ASSOCIATES, INC.",1
