yr,qtr,chamber,n_press
2023,4,House,242
2025,2,House,630
2024,1,,2
2024,2,House,350
2025,3,House,517
2022,1,House,192
2022,4,Senate,86
2024,1,Senate,219
2023,4,Senate,177
2025,2,Senate,506
2024,2,Senate,260
2022,2,Senate,84
2022,3,House,297
2023,1,Senate,166
2025,3,Senate,373
2022,1,Senate,92
2022,4,House,155
2024,1,House,323
2026,1,,1
2022,2,House,214
2022,3,Senate,119
2023,1,House,363
2023,2,,1
2026,1,House,412
2025,4,Senate,301
2023,1,,1
2023,2,House,396
2023,3,House,243
2025,1,House,546
2024,3,Senate,199
2024,4,Senate,114
2026,1,Senate,370
2025,4,House,408
2023,2,Senate,179
2023,3,Senate,150
2025,1,Senate,424
2024,3,House,254
2024,4,House,170
