contributor_name,registrant_name,payee_name,honoree_name,amount,contribution_date,contribution_type_display,contrib_filing_uuid,contrib_url,lobbying_clients,quarter_income,quarter_expenses,sample_lobbying_filing_uuid,sample_lobbying_filing_url
SELF,FCA US LLC,"TRUMP VANCE INAUGURAL COMMITTEE, INC. 2025","Trump Vance Inaugural Committee, Inc. 2025",1000000.0,2025-01-06,Presidential Inaugural Committee,69579d46-3579-43c7-a8ed-6e4ea58b8a05,https://lda.senate.gov/api/v1/contributions/69579d46-3579-43c7-a8ed-6e4ea58b8a05/?format=json,FCA US LLC,,1080000.0,a93e5baf-3131-4015-bcde-b84c3602ca07,https://lda.senate.gov/api/v1/filings/a93e5baf-3131-4015-bcde-b84c3602ca07/?format=json
SELF,CARRIER GLOBAL CORPORATION,"TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump Vance Inaugural Committee, Inc.",1000000.0,2024-12-30,FECA,8835f16c-4bb4-4b7a-96bd-36b6ce0af0e1,https://lda.senate.gov/api/v1/contributions/8835f16c-4bb4-4b7a-96bd-36b6ce0af0e1/?format=json,CARRIER GLOBAL CORPORATION,,546381.0,62efe751-f373-4636-aef1-414c4950e965,https://lda.senate.gov/api/v1/filings/62efe751-f373-4636-aef1-414c4950e965/?format=json
SELF,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",TRUMP VANCE INAUGURAL COMMITTEE,Trump Vance Inaugural Committee,1000000.0,2024-12-28,Presidential Inaugural Committee,a186e2de-13b9-4a68-aa9c-5b3fb5058823,https://lda.senate.gov/api/v1/contributions/a186e2de-13b9-4a68-aa9c-5b3fb5058823/?format=json,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",,5580000.0,8c335706-41da-41f0-9688-dcd4de46bae2,https://lda.senate.gov/api/v1/filings/8c335706-41da-41f0-9688-dcd4de46bae2/?format=json
SELF,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",TRUMP VANCE INAUGURAL COMMITTEE INC.,Trump Vance Inaugural Committee Inc,1000000.0,2024-12-20,Presidential Inaugural Committee,27a4c886-09bd-4188-b411-bdf17a8a9c5c,https://lda.senate.gov/api/v1/contributions/27a4c886-09bd-4188-b411-bdf17a8a9c5c/?format=json,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",,900000.0,eb737078-10b4-4fa9-a4cc-c887561f861a,https://lda.senate.gov/api/v1/filings/eb737078-10b4-4fa9-a4cc-c887561f861a/?format=json
SELF,"QUALCOMM, INCORPORATED",TRUMP VANCE INAUGURAL COMMITTEE,Trump Vance Inaugural Committee,1000000.0,2024-12-19,Presidential Inaugural Committee,000d3159-fdd4-4cb1-923e-f48f573960a4,https://lda.senate.gov/api/v1/contributions/000d3159-fdd4-4cb1-923e-f48f573960a4/?format=json,QUALCOMM INCORPORATED,,1920000.0,42fd92e9-3dfb-49bb-b3c2-282174a9f78f,https://lda.senate.gov/api/v1/filings/42fd92e9-3dfb-49bb-b3c2-282174a9f78f/?format=json
SELF,BROADCOM INC.,TRUMP-VANCE INAUGURAL COMMITTEE INC,Trump-Vance Inaugural Committe Inc,1000000.0,2024-12-16,Presidential Inaugural Committee,f995fa0d-8b20-4698-b154-a5fb83efd377,https://lda.senate.gov/api/v1/contributions/f995fa0d-8b20-4698-b154-a5fb83efd377/?format=json,BROADCOM INC,,450000.0,121e2e5c-9edc-4547-b088-243100876707,https://lda.senate.gov/api/v1/filings/121e2e5c-9edc-4547-b088-243100876707/?format=json
SELF,"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM","TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump Vance Inaugural Committee, Inc.",1000000.0,2024-12-16,Presidential Inaugural Committee,2a1fbf86-edb4-4cf0-ad34-54a67d5988b5,https://lda.senate.gov/api/v1/contributions/2a1fbf86-edb4-4cf0-ad34-54a67d5988b5/?format=json,"FORIS DAX, INC & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",,540000.0,12776dd1-fdb2-46d2-95de-14e86118884f,https://lda.senate.gov/api/v1/filings/12776dd1-fdb2-46d2-95de-14e86118884f/?format=json
SELF,OCCIDENTAL PETROLEUM CORPORATION,"TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump Vance Inaugural Committee, Inc.",1000000.0,2024-12-04,Presidential Inaugural Committee,e6878ea7-8c7b-4fcd-a591-68baa4d6524b,https://lda.senate.gov/api/v1/contributions/e6878ea7-8c7b-4fcd-a591-68baa4d6524b/?format=json,OCCIDENTAL PETROLEUM CORPORATION,,3860000.0,b547ecc1-5f06-41f2-a904-2bda865a9f2c,https://lda.senate.gov/api/v1/filings/b547ecc1-5f06-41f2-a904-2bda865a9f2c/?format=json
SELF,OCCIDENTAL PETROLEUM CORPORATION,"TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump Vance Inaugural Committee, Inc.",1000000.0,2024-12-04,Presidential Inaugural Committee,90b4c126-8bae-4b2d-a32d-2be074875561,https://lda.senate.gov/api/v1/contributions/90b4c126-8bae-4b2d-a32d-2be074875561/?format=json,OCCIDENTAL PETROLEUM CORPORATION,,3860000.0,b547ecc1-5f06-41f2-a904-2bda865a9f2c,https://lda.senate.gov/api/v1/filings/b547ecc1-5f06-41f2-a904-2bda865a9f2c/?format=json
SELF,ALTRIA CLIENT SERVICES LLC,TRUMP VANCE INAUGURAL COMMITTEE,Trump Vance Inaugural Committee,1000000.0,2024-12-03,Presidential Inaugural Committee,c23184dd-2b22-40bd-894e-c15532e05912,https://lda.senate.gov/api/v1/contributions/c23184dd-2b22-40bd-894e-c15532e05912/?format=json,ALTRIA CLIENT SERVICES LLC,,3770000.0,d05a0417-8662-4353-8fab-f0dba6cbd9d8,https://lda.senate.gov/api/v1/filings/d05a0417-8662-4353-8fab-f0dba6cbd9d8/?format=json
SELF,PARADIGM OPERATIONS LP,TRUMP VANCE INAUGURAL COMMITTEE,Trump Vance Inaugural Committee,1000000.0,2024-12-02,Presidential Inaugural Committee,c19f5f4c-b60c-4f82-916e-2d0c60a5d78f,https://lda.senate.gov/api/v1/contributions/c19f5f4c-b60c-4f82-916e-2d0c60a5d78f/?format=json,PARADIGM OPERATIONS LP,,250000.0,cc410a18-917a-4844-a70c-b7ddaaf181ed,https://lda.senate.gov/api/v1/filings/cc410a18-917a-4844-a70c-b7ddaaf181ed/?format=json
SELF,"COINBASE, INC.","TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump Vance Inaugural Committee, Inc.",1000000.0,2024-12-02,Presidential Inaugural Committee,0b112e4f-0586-434f-9707-37730209d735,https://lda.senate.gov/api/v1/contributions/0b112e4f-0586-434f-9707-37730209d735/?format=json,"COINBASE, INC.",,950000.0,8e1fc4ac-245f-4ad2-b208-034d0704d622,https://lda.senate.gov/api/v1/filings/8e1fc4ac-245f-4ad2-b208-034d0704d622/?format=json
